Product,Price,Sold,Reviews,LazMall,Location,Reason,Confidence
กล้องถ่ายรูป / กล้อง Canon กล้อง รุ่น Canon EOS R6 Mark II by FOTOFILE รับประกันศูนย์ไทย,64600.0,13,602,True,Bangkok,"ร้านค้า Lazmall, จำนวนการขายและรีวิวสูง",0.95
Canon EOS R50 RF-S18-45mm Black,22990.0,565,185,True,Bangkok,"ร้านค้า Lazmall, จำนวนการขายและรีวิวสูง",0.9
Canon EOS R50 Kit RF-S18-45mm f/4.5-6.3 IS STM,22400.0,229,67,True,Bangkok,"ร้านค้า Lazmall, จำนวนการขายและรีวิวสูง",0.85
Canon EOS R6 Mark II Mirrorless Camera กล้อง - ประกันศูนย์,64600.0,470,213,True,Bangkok,"ร้านค้า Lazmall, จำนวนการขายและรีวิวสูง",0.9
Canon EOS RP Mirrorless Camera,29400.0,15,512,True,Bangkok,"ร้านค้า Lazmall, จำนวนการขายและรีวิวสูง",0.9
Canon Eos R50 Mirrorless Camera with 18-45mm Lens (Center Warranty),27000.0,385,137,True,Bangkok,"ร้านค้า Lazmall, จำนวนการขายและรีวิวสูง",0.85
Canon EOS R50 V Kit RF-S14-30mm f/4-6.3 IS STM PZ,30600.0,9,5,True,Bangkok,"ร้านค้า Lazmall, จำนวนการขายและรีวิวปานกลาง",0.7
Canon Eos RP Body Mirrorless Camera - ประกันศูนย์ [กล้องมิลเลอร์เลส] - ประกันศูนย์,29400.0,593,197,True,Bangkok,"ร้านค้า Lazmall, จำนวนการขายและรีวิวสูง",0.9
Canon EOS R50 RF-S18-45mm + RF-S55-210mm-Black,32490.0,18,8,True,Bangkok,"ร้านค้า Lazmall, จำนวนการขายและรีวิวปานกลาง",0.75
กล้องถ่ายรูป / กล้องมิเรอร์เลส Mirrorless Camera รุ่น Canon EOS R7 (ประกันศูนย์แคนนอนไทย) by Fotofile,46800.0,64,26,True,Bangkok,"ร้านค้า Lazmall, จำนวนการขายและรีวิวปานกลาง",0.75
Canon EOS R8 ( Body ),39700.0,10,459,True,Bangkok,"ร้านค้า Lazmall, จำนวนการขายและรีวิวสูง",0.9
Canon EOS R10,34300.0,63,20,True,Bangkok,"ร้านค้า Lazmall, จำนวนการขายและรีวิวปานกลาง",0.75
Canon EOS R8  แคนนอน กล้องมิลเลอร์เลส  Mirrorless Camera - ประกันศูนย์,44990.0,285,97,True,Bangkok,"ร้านค้า Lazmall, จำนวนการขายและรีวิวสูง",0.9
