Product,Price,Sold,Location,LazMall,Reviews
"(Ready to Ship, Free Delivery) New Model Samsung Galaxy A06 (4/64Gb) (4/128Gb) 1St Hand, Genuine, 1 Year Warranty from Thai Center.","฿2,612.00",836,Loei,No,363
vivo Y29 (8/128GB)(8/256GB) Superlink,"฿6,000.00",0,Bangkok,No,0
vivo Y04 (4GB+64/128GB) Superlink,"฿4,000.00",0,Bangkok,No,0
Samsung Galaxy A56 128GB Super Link,"฿20,000.00",0,Bangkok,No,0
vivo V50 256GB Superlink,"฿30,000.00",0,Bangkok,No,0
vivo V50 Lite 256GB Superlink,"฿15,000.00",0,Bangkok,No,0
"Vivo V40 Lite 5g (8GB RAM+256GB ROM) 80W Flashcharge, Ai Aura Portrait Ai Erase, 1 Year Warranty, Ip64, 120Hz AMOLED",฿5.00,0,Samut Sakhon,No,1
"(New) Poco C75 (8GB RAM + 256GB ROM ) 5G Supports a 6.88-Inch Hd+ Display with a 120Hz Refresh Rate, Providing Clear Video.",฿5.00,0,Samut Sakhon,No,0
"Samsung Galaxy A14 5g Smartphone (6GB RAM+128GB ROM) 6.6-Inch Screen, 5000Mah Battery, Supports Fast Charging. 12-Month Store Warranty",฿5.00,0,Samut Sakhon,No,0
"VIV0 Y20S 8GB RAM 256GB ROM 6.51 Inch Screen 5000Mah Battery, Ready to Ship, Plus Free Complete Set of Accessories.",฿5.00,0,Samut Sakhon,No,0
มือถือ 8X (แรม 6 รอม 256 GB)มือถือจอHD 6.5 นิ้ว รับประกันสินค้า 1 ปี,"฿1,290.00",0,Chonburi,No,0
"มือถือ 20i แรม 6 รอม 256 GB จอHD 6.21 นิ้ว แบตเตอรี่3,400 mAh รับประกันสินค้า 1ปี","฿1,290.00",0,Chonburi,No,0
(NEW) XIAOMI Redmi 15C 4G (6+128GB/8+256GB) แบตเตอรี่ 6000mAh หน้าจอใหญ่ 6.9 นิ้ว ชาร์จเร็ว 33W กล้องคู่ AI คมชัด 50MP,"฿3,499.00",6,Bangkok,Yes,3
"Xiaomi Redmi 14C (8+256GB) | จอใหญ่ 6.88"" LCD | แบต 5,160mAh+ชาร์จเร็ว 18W | สินค้าใหม่ล่าสุด","฿2,549.15",0,Nakhon Sawan,No,1
"(New) Redmi 13C 5g (8Gb+256Gb) Mobile Phone, 5000Mah Battery, 15-Month Warranty, 90Hz Fhd+, 18W Fast Charging",฿5.00,0,Samut Sakhon,No,0
"(New) Redmi 14C 5g 8+256Gb 6.88"" Mobile Phone, 18W 5160Mah Battery, 120Hz, 50 Mp Main Camera, 1 Year Warranty",฿5.00,0,Samut Sakhon,No,0
Sansang galalxy A54 new smartphone 5G mobile phone 7.5 inch HD + 2 sim smartphone 4G/5G smart phone 16GB ROM 512GB android13.0 mobile mobilephone support Bank app,฿899.00,34,Samut Sakhon,No,709
2025 new original Vivo Y27 5G 7.5 inch mobile phone support 2 SIM RAM 16GB ROM 512GB Smartphone 4G/5G smart phone android13.0 cheap mobile phone free shipping cheap phone for Android cheap phone call game,฿849.00,338,Samut Sakhon,No,38
โทรศัพท์มือถือ Reno12 5G 7.0HD+รองรับ2ซิม 16GB+512GB 48MP+72MP 7800mAh โทรศัพท์ Smartphone Android 13.0 Mobile phone โทรศัพท์ถูกๆ รองรับทุกซิมการ์ดในไทย โทรศัพท์มือถ,฿869.00,29,Samut Sakhon,No,2
Poco C65 5g 8Gb+256Gb Powerful Chipset Mediatek Helio G85 50Mp Ai Camera | 15 Month Warranty,฿5.00,0,Samut Sakhon,No,0
"[NEW] POCO C71 3+64/4+128 โปรเซสเซอร์ Octa-Core ทรงพลัง｜หน้าจอ 6.88"" สุดสมจริง｜กล้องคู่ AI คมชัด 32MP","฿2,099.00",103,Samut Prakan,Yes,2806
【รับประกัน 1 ปี】โทรศัพท์มือถือ OPP0 A31 โทรศัพท์มือถือของแท้ 12GB ROM 512GB5G 7.5 นิ้วของแท้สนับสนุนโทรศัพท์ 2 ซิมมาร์ทโฟน 4G / 5G Android 11.0 โทรศัพท์มือถือราคาถูกราคาถูก ราคาถูกมากมือถือจัดส่งฟรี,"฿1,450.00",37,Bangkok,No,65
0ppo A97 5G 7.5hd mobile phone + 2 SIM 16GB + 512GB 48mp + 72MP 7800mAh smartphone Android 13.0 mobile phone all SIM card Thai mobile phone,฿949.00,290,Samut Sakhon,No,33
【รับประกัน1ปี】ของแท้ มือถือ VIV0 V25 5G 7.1นิ้ว โทรศัพท์มือถือ รองรับ2ซิม แรม16GB รอม512GB Smartphone 4G/5G โทรศัพท์สำห รับเล่นเกม โทรสับราคาถูก โทรศัพท์ ถูกๆดี โทรศัพท์สมา โทรศัพท์ถูกๆ Android11.0 มือถือ Mobilephone ส่งฟรี โทรศัพท์มือถือของแท้ V29 5G NFC,"฿1,428.00",11,Bangkok,No,76
【รับประกัน 1 ปี】ของแท้ 100% Radmi Note11 Pro โทรศัพท์มือถือ 5Gสมาร์ทโฟน เครื่องใหม่ จอ HD 7.5 นิ้ว 16GB+512GB 6800mAh 24MP+58MP ใส่ได้สองซิม รองรับแอปธนาคาร รองรับทุกซิมการ์ดในไทย ส่วนลดใหญ่ โทรศัพท์ดี ราคาถูกๆ มือถือข้อเสนอสุดพิเศษ มือถือ โทรศัพท์ถูกๆดี,"฿1,629.00",31,Bangkok,No,10
ของแท้100% A55 5G 6.7นิ้ว โทรศัพท์มือถือ เต็มจอรองรับ2ซิม Smartphone แรม16GB รอม512GB 4G/5G โทรศัพท์สมา เต็มจอ Android13.0 24MP+48MP มือถือ Mobile phone,฿919.00,5,Samut Sakhon,No,0
